Currency,Name,Symbol
bitcoin,Bitcoin,BTC
ethereum,Ethereum,ETH
ripple,Ripple,XRP
bitcoin-cash,Bitcoin Cash,BCH
litecoin,Litecoin,LTC
cardano,Cardano,ADA
neo,NEO,NEO
stellar,Stellar,XLM
eos,EOS,EOS
iota,IOTA,MIOTA
monero,Monero,XMR
dash,Dash,DASH
nem,NEM,XEM
tron,TRON,TRX
vechain,VeChain,VEN
ethereum-classic,Ethereum Classic,ETC
lisk,Lisk,LSK
qtum,Qtum,QTUM
omisego,OmiseGO,OMG
nano,Nano,NANO
binance-coin,Binance Coin,BNB
icon,ICON,ICX
digixdao,DigixDAO,DGD
populous,Populous,PPT
steem,Steem,STEEM
waves,Waves,WAVES
stratis,Stratis,STRAT
bytecoin-bcn,Bytecoin,BCN
verge,Verge,XVG
maker,Maker,MKR
rchain,RChain,RHOC
siacoin,Siacoin,SC
dogecoin,Dogecoin,DOGE
status,Status,SNT
bitshares,BitShares,BTS
aeternity,Aeternity,AE
augur,Augur,REP
decred,Decred,DCR
bytom,Bytom,BTM
waltonchain,Waltonchain,WTC
zilliqa,Zilliqa,ZIL
ontology,Ontology,ONT
aion,Aion,AION
ardor,Ardor,ARDR
komodo,Komodo,KMD
ark,Ark,ARK
cryptonex,Cryptonex,CNX
kucoin-shares,KuCoin Shares,KCS
monacoin,MonaCoin,MONA
hshare,Hshare,HSR
0x,0x,ZRX
electroneum,Electroneum,ETN
digibyte,DigiByte,DGB
veritaseum,Veritaseum,VERI
pivx,PIVX,PIVX
basic-attention-token,Basic Attention Token,BAT
syscoin,Syscoin,SYS
revain,Revain,R
gas,Gas,GAS
factom,Factom,FCT
dragonchain,Dragonchain,DRGN
golem-network-tokens,Golem,GNT
qash,QASH,QASH
ethos,Ethos,ETHOS
funfair,FunFair,FUN
nebulas-token,Nebulas,NAS
loopring,Loopring,LRC
gxchain,GXChain,GXS
reddcoin,ReddCoin,RDD
zcoin,ZCoin,XZC
iostoken,IOStoken,IOST
kyber-network,Kyber Network,KNC
emercoin,Emercoin,EMC
aelf,aelf,ELF
maidsafecoin,MaidSafeCoin,MAID
salt,SALT,SALT
dentacoin,Dentacoin,DCN
byteball,Byteball Bytes,GBYTE
